Instance,Alpha,Gamma,RandSeed,BestWireLength,Time,Iteration,BestIter,BestCost,reject_times,accept_inferior_times,update_best_times,outline_fail_times,outline_adjust_time,InitialWireLength,InitialAvgWireLength,InitialBestWireLength,InitialTime,InitialIteration,layer_0_width,layer_0_height,layer_0_fillrate,layer_0_userate,layer_1_width,layer_1_height,layer_1_fillrate,layer_1_userate
ICCAD2023_floorplanning_case_2(1),0,1,14,2.00E+07,0.545,0,0,0.365281,0,0,0,0,0.003,2.56E+07,7.09E+07,2.59E+07,0.04,420,21023,18066,0.911215,0.791947,21615,17459,0.860888,0.74343
ICCAD2023_floorplanning_case_2(1),0,1,15,2.01E+07,0.477,0,0,0.524437,0,0,0,0,0.006,4.33E+07,8.25E+07,4.33E+07,0.046,420,22011,17028,0.86575,0.742531,22671,17358,0.880436,0.792842
ICCAD2023_floorplanning_case_2(1),0,1,16,2.62E+07,0.733,0,0,0.845131,0,0,0,0,0.039,7.21E+07,8.50E+07,7.19E+07,0.062,420,22869,18909,0.751809,0.743947,22671,17886,0.852924,0.791431
ICCAD2023_floorplanning_case_2(1),0,1,17,1.91E+07,0.52,0,0,0.554631,0,0,0,0,0.051,4.31E+07,8.94E+07,4.96E+07,0.09,420,22407,17127,0.851882,0.748106,22671,17160,0.884338,0.787272
ICCAD2023_floorplanning_case_2(1),0,1,18,3.08E+07,0.537,0,0,0.384953,0,0,0,0,0.005,3.51E+07,9.12E+07,3.51E+07,0.044,420,22473,17847,0.861738,0.790897,21681,17259,0.869433,0.744474
ICCAD2023_floorplanning_case_2(1),0,1,19,1.83E+07,0.629,0,0,0.591994,0,0,0,0,0.018,5.01E+07,8.43E+07,4.99E+07,0.059,420,21084,17359,0.915154,0.766461,20728,17728,0.914415,0.768916
ICCAD2023_floorplanning_case_2(1),0,1,20,2.70E+07,0.63,0,0,0.709954,0,0,0,0,0.086,5.84E+07,8.22E+07,5.84E+07,0.11,420,22996,18942,0.790951,0.7884,22968,18975,0.749,0.746973
ICCAD2023_floorplanning_case_3(1),0,1,1,1.05E+08,100.214,0,0,0.254263,0,0,0,0,1.414,4.93E+08,1.94E+09,4.93E+08,3.793,3720,39798,40076,0.81441,0.776903,39384,39360,0.849222,0.787362
ICCAD2023_floorplanning_case_3(1),0,1,2,1.54E+08,100.211,0,0,0.271914,0,0,0,0,48.661,6.94E+08,2.55E+09,6.94E+08,6.202,3720,40028,40966,0.809131,0.793568,38016,41328,0.803265,0.754828
ICCAD2023_floorplanning_case_3(1),0,1,3,1.72E+08,100.214,0,0,0.309792,0,0,0,0,1.013,5.34E+08,1.72E+09,5.34E+08,3.498,3720,40364,41248,0.800818,0.79746,39984,40848,0.761872,0.744247
ICCAD2023_floorplanning_case_3(1),0,1,4,1.54E+08,100.22,0,0,0.224719,0,0,0,0,8.262,5.72E+08,2.55E+09,5.72E+08,3.49,3720,40309,40925,0.798903,0.788248,40032,40953,0.778579,0.763437
ICCAD2023_floorplanning_case_3(1),0,1,5,1.14E+08,100.223,0,0,0.275585,0,0,0,0,2.13,6.41E+08,2.33E+09,6.41E+08,3.932,3720,40161,40841,0.795762,0.78066,39696,38897,0.84611,0.78139
ICCAD2023_floorplanning_case_3(1),0,1,6,1.44E+08,100.223,0,0,0.377089,0,0,0,0,1.999,7.57E+08,2.01E+09,7.57E+08,4.087,3720,39798,41369,0.80893,0.796573,39901,41048,0.764853,0.749259
ICCAD2023_floorplanning_case_3(1),0,1,7,1.38E+08,100.229,0,0,0.271747,0,0,0,0,1.838,6.29E+08,2.32E+09,6.29E+08,4.021,3720,40134,41363,0.790779,0.785159,39216,40773,0.805189,0.770037
ICCAD2023_floorplanning_case_3(1),0,1,8,1.11E+08,100.198,0,0,0.309762,0,0,0,0,2.969,6.76E+08,2.18E+09,6.76E+08,5.328,3720,40089,40997,0.805107,0.791423,39901,40479,0.784807,0.758148
ICCAD2023_floorplanning_case_3(1),0,1,9,1.72E+08,100.195,0,0,0.317681,0,0,0,0,3.601,6.99E+08,2.20E+09,6.99E+08,3.293,3720,40268,41349,0.790561,0.787297,39696,40858,0.789031,0.765413
ICCAD2023_floorplanning_case_3(1),0,1,10,2.51E+08,100.198,0,0,0.188475,0,0,0,0,86.69,5.68E+08,3.02E+09,5.68E+08,3.168,3720,40211,40946,0.795848,0.783727,39888,40896,0.791869,0.772599
ICCAD2023_floorplanning_case_3(1),0,1,11,1.55E+08,100.197,0,0,0.271936,0,0,0,0,1.377,5.47E+08,2.01E+09,5.46E+08,3.553,3720,39336,40164,0.829934,0.78424,39168,41208,0.798774,0.771107
ICCAD2023_floorplanning_case_4(1),0,1,4,3.96E+09,1201.2,0,0,0.185966,0,0,0,0,141.867,1.23E+10,6.60E+10,1.23E+10,231.451,19560,75785,129154,0.755761,0.755426,75761,128555,0.788691,0.784438
ICCAD2023_floorplanning_case_3(1),0,1,12,1.50E+08,100.215,0,0,0.2625,0,0,0,0,3.239,6.66E+08,2.54E+09,6.66E+08,5.741,3720,39864,41323,0.800741,0.788937,39203,41093,0.793574,0.764633
ICCAD2023_floorplanning_case_3(1),0,1,1,1.42E+08,50.22,0,0,0.219238,0,0,0,0,1.72,5.73E+08,2.61E+09,5.73E+08,4.054,3720,40260,41023,0.808485,0.79864,40263,41198,0.751192,0.745266
ICCAD2023_floorplanning_case_3(1),0,1,2,1.13E+08,50.232,0,0,0.269057,0,0,0,0,1.71,7.60E+08,2.82E+09,7.60E+08,3.923,3720,39732,40579,0.827213,0.797695,39752,40298,0.780448,0.747764
ICCAD2023_floorplanning_case_3(1),0,1,3,1.63E+08,50.223,0,0,0.242364,0,0,0,0,4.983,6.59E+08,2.72E+09,6.59E+08,9.823,3720,39702,40953,0.806369,0.784169,40299,41110,0.780372,0.773253
ICCAD2023_floorplanning_case_3(1),0,1,4,1.67E+08,50.228,0,0,0.224719,0,0,0,0,0.82,5.72E+08,2.55E+09,5.72E+08,3.156,3720,39935,40757,0.792764,0.771752,40032,39840,0.835277,0.796774
ICCAD2023_floorplanning_case_3(1),0,1,5,1.23E+08,50.211,0,0,0.351549,0,0,0,0,2.164,7.15E+08,2.03E+09,7.15E+08,4.036,3720,40062,41085,0.804762,0.792248,39897,41091,0.773141,0.758095
ICCAD2023_floorplanning_case_3(1),0,1,6,3.31E+09,98.202,0,0,2.42495,0,0,0,0,6.681,3.31E+09,2.33E+09,3.31E+09,97.756,3720,255683,32553,0.157321,0.783171,57512,142746,0.157924,0.775441
ICCAD2023_floorplanning_case_3(1),0,1,10,1.53E+08,50.211,0,0,0.188475,0,0,0,0,1.83,5.68E+08,3.02E+09,5.68E+08,3.25,3720,40228,40747,0.788405,0.77295,40032,41057,0.808431,0.794722
ICCAD2023_floorplanning_case_3(1),0,1,11,1.43E+08,50.208,0,0,0.295021,0,0,0,0,5.943,5.97E+08,2.02E+09,5.97E+08,9.436,3720,40359,40819,0.809433,0.797557,40286,40848,0.75903,0.747071
ICCAD2023_floorplanning_case_3(1),0,1,12,1.59E+08,50.215,0,0,0.2625,0,0,0,0,2.498,6.66E+08,2.54E+09,6.66E+08,5.005,3720,39039,41158,0.821012,0.789006,39232,41136,0.792013,0.764492
ICCAD2023_floorplanning_case_3(1),0,1,13,1.24E+08,50.212,0,0,0.270876,0,0,0,0,1.609,7.04E+08,2.60E+09,7.04E+08,4.062,3720,39798,41211,0.813429,0.797943,40128,41343,0.753398,0.74757
ICCAD2023_floorplanning_case_3(1),0,1,14,1.39E+08,50.214,0,0,0.266211,0,0,0,0,2.333,6.38E+08,2.40E+09,6.38E+08,4.82,3720,40219,39756,0.821437,0.785572,40320,40752,0.784997,0.771463
ICCAD2023_floorplanning_case_3(1),0,1,15,1.65E+08,50.213,0,0,0.276871,0,0,0,0,0.673,5.76E+08,2.08E+09,5.76E+08,2.987,3720,40219,40770,0.80047,0.785046,40368,40769,0.782356,0.770104
ICCAD2023_floorplanning_case_3(1),0,1,16,1.67E+08,50.216,0,0,0.272532,0,0,0,0,7.435,6.39E+08,2.34E+09,6.39E+08,29.412,3720,39303,41348,0.819788,0.796819,40176,39688,0.784222,0.747899
ICCAD2023_floorplanning_case_3(1),0,1,17,1.78E+08,50.198,0,0,0.301813,0,0,0,0,0.546,5.62E+08,1.86E+09,5.62E+08,3.034,3720,39797,40850,0.815004,0.792465,39456,40608,0.786792,0.753984
ICCAD2023_floorplanning_case_3(1),0,1,18,1.38E+08,50.198,0,0,0.244474,0,0,0,0,4.428,6.96E+08,2.85E+09,6.96E+08,7.974,3720,40260,40828,0.801507,0.787983,39840,39800,0.80875,0.766999
ICCAD2023_floorplanning_case_3(1),0,1,19,1.65E+08,50.195,0,0,0.365553,0,0,0,0,2.02,7.43E+08,2.03E+09,7.43E+08,4.597,3720,40279,41360,0.791547,0.788704,39792,39931,0.804026,0.764107
ICCAD2023_floorplanning_case_3(1),0,1,20,1.74E+08,50.206,0,0,0.30373,0,0,0,0,0.957,6.09E+08,2.01E+09,6.09E+08,3.139,3720,40227,41243,0.778969,0.772976,38976,41283,0.825582,0.794524
ICCAD2023_floorplanning_case_4(1),0,1,5,5.27E+09,601.111,0,0,0.182774,0,0,0,0,193.881,1.26E+10,6.88E+10,1.26E+10,278.762,19560,75792,128379,0.768633,0.763754,75601,129139,0.785431,0.783086
ICCAD2023_floorplanning_case_4(1),0,1,6,5.09E+09,601.112,0,0,0.164006,0,0,1841,0,98.529,1.21E+10,7.39E+10,1.21E+10,206.15,19560,75794,128767,0.760429,0.757905,75812,128281,0.785794,0.780416
