Instance,Alpha,Gamma,RandSeed,BestWireLength,Time,Iteration,BestIter,BestCost,reject_times,accept_inferior_times,update_best_times,outline_fail_times,outline_adjust_time,InitialWireLength,InitialAvgWireLength,InitialBestWireLength,InitialTime,InitialIteration,layer_0_width,layer_0_height,layer_0_fillrate,layer_0_userate,layer_1_width,layer_1_height,layer_1_fillrate,layer_1_userate
ICCAD2023_floorplanning_case_2(1),0,1,14,4.80E+07,1.484,0,0,0.718348,0,0,0,0,0.181,6.39E+07,8.90E+07,6.39E+07,0.272,420,21648,18975,0.78859,0.741258,22645,17358,0.882868,0.79412
ICCAD2023_floorplanning_case_2(1),0,1,15,2.65E+07,0.739,0,0,0.785001,0,0,0,0,0.038,5.94E+07,7.56E+07,5.94E+07,0.091,420,22638,18909,0.80757,0.791052,22176,18898,0.77615,0.744326
ICCAD2023_floorplanning_case_2(1),0,1,16,4.47E+07,0.529,0,0,0.895013,0,0,0,0,0.053,6.90E+07,7.71E+07,6.90E+07,0.093,420,22473,18877,0.815649,0.7918,21648,18876,0.79521,0.743581
ICCAD2023_floorplanning_case_2(1),0,1,17,2.35E+07,0.754,0,0,0.564342,0,0,0,0,0.019,5.03E+07,8.92E+07,5.03E+07,0.066,420,22968,17127,0.828551,0.745834,22935,18810,0.799781,0.789546
ICCAD2023_floorplanning_case_2(1),0,1,18,6.19E+07,1.289,0,0,0.690033,0,0,0,0,0.699,5.29E+07,7.67E+07,5.29E+07,0.063,420,22935,18744,0.779201,0.76653,21846,18042,0.85244,0.768845
ICCAD2023_floorplanning_case_2(1),0,1,19,3.45E+07,0.637,0,0,0.438272,0,0,0,0,0.002,4.06E+07,9.27E+07,4.06E+07,0.045,420,22935,18975,0.794719,0.79143,22242,17127,0.85343,0.743946
ICCAD2023_floorplanning_case_2(1),0,1,20,3.11E+07,1.752,0,0,0.597891,0,0,0,0,0.646,5.02E+07,8.40E+07,5.02E+07,0.769,420,22671,17259,0.829463,0.74268,22968,18642,0.809047,0.792699
ICCAD2023_floorplanning_case_2(1),0,1,1,1.82E+07,4.433,0,0,0.741807,0,0,0,0,2.523,5.61E+07,7.56E+07,5.61E+07,2.64,420,22968,17127,0.859347,0.773556,19767,18999,0.886462,0.761816
ICCAD2023_floorplanning_case_3(1),0,1,1,9.71E+07,300.347,0,0,0.310429,0,0,0,0,6.741,7.11E+08,2.28E+09,7.08E+08,10.234,3720,40389,41205,0.788342,0.784703,40368,40150,0.797009,0.772616
ICCAD2023_floorplanning_case_3(1),0,1,2,8.85E+07,300.307,0,0,0.303327,0,0,0,0,6.315,6.46E+08,2.13E+09,6.46E+08,9.921,3720,40308,41370,0.790042,0.787961,40376,40564,0.780464,0.76453
ICCAD2023_floorplanning_case_3(1),0,1,3,6.49E+07,300.267,0,0,0.185376,0,0,0,0,1.645,3.47E+08,1.87E+09,3.47E+08,5.809,3720,39996,41224,0.781334,0.770516,39792,41328,0.811251,0.797946
ICCAD2023_floorplanning_case_3(1),0,1,1,9.96E+07,100.621,0,0,0.310429,0,0,0,0,5.141,7.11E+08,2.28E+09,7.08E+08,7.98,3720,40224,41335,0.792546,0.788145,40368,39504,0.80269,0.765604
ICCAD2023_floorplanning_case_3(1),0,1,2,9.40E+07,100.237,0,0,0.303327,0,0,0,0,10.988,6.46E+08,2.13E+09,6.46E+08,14.855,3720,40166,41309,0.790109,0.784094,38617,40485,0.826199,0.772565
ICCAD2023_floorplanning_case_3(1),0,1,3,6.82E+07,100.244,0,0,0.185376,0,0,0,0,1.391,3.47E+08,1.87E+09,3.47E+08,4.914,3720,40195,40872,0.784201,0.770554,39792,41328,0.811178,0.797874
ICCAD2023_floorplanning_case_3(1),0,1,4,9.77E+07,100.67,0,0,0.333351,0,0,0,0,9.33,7.89E+08,2.37E+09,7.89E+08,12.405,3720,40359,40695,0.81206,0.797715,39980,38880,0.803335,0.746867
ICCAD2023_floorplanning_case_3(1),0,1,5,1.08E+08,100.363,0,0,0.213918,0,0,0,0,10.836,5.46E+08,2.55E+09,5.46E+08,15.394,3720,40314,40693,0.791714,0.776823,40151,41232,0.795544,0.787722
ICCAD2023_floorplanning_case_3(1),0,1,6,7.75E+07,100.423,0,0,0.182105,0,0,0,0,2.132,3.60E+08,1.97E+09,3.60E+08,6.007,3720,39784,41152,0.787465,0.771096,40080,39229,0.847236,0.796741
ICCAD2023_floorplanning_case_3(1),0,1,7,8.27E+07,100.335,0,0,0.203353,0,0,0,0,17.558,4.47E+08,2.20E+09,4.47E+08,21.547,3720,39763,42141,0.769306,0.771012,40320,41376,0.798402,0.796652
ICCAD2023_floorplanning_case_3(1),0,1,8,7.62E+07,100.225,0,0,0.170108,0,0,0,0,2.416,3.36E+08,1.97E+09,3.36E+08,6.303,3720,40128,41058,0.789342,0.777837,40176,38496,0.846167,0.782738
ICCAD2023_floorplanning_case_3(1),0,1,9,7.69E+07,100.274,0,0,0.187837,0,0,0,0,1.281,4.02E+08,2.14E+09,4.02E+08,5.03,3720,40387,41194,0.777881,0.774046,39984,41328,0.800104,0.790779
ICCAD2023_floorplanning_case_3(1),0,1,10,3.55E+08,100.227,0,0,0.32652,0,0,0,0,74.741,8.56E+08,2.62E+09,8.56E+08,77.967,3720,40702,41178,0.802534,0.804493,39552,41377,0.749992,0.734112
ICCAD2023_floorplanning_case_3(1),0,1,11,2.78E+08,100.268,0,0,0.272302,0,0,0,0,18.504,6.97E+08,2.56E+09,6.97E+08,21.743,3720,40352,41613,0.798912,0.802363,40047,41340,0.744356,0.737053
ICCAD2023_floorplanning_case_3(1),0,1,12,9.28E+07,100.219,0,0,0.325757,0,0,0,0,5.317,6.03E+08,1.85E+09,6.03E+08,9.82,3720,40415,41272,0.800275,0.79839,39938,41088,0.757658,0.743623
ICCAD2023_floorplanning_case_3(1),0,1,13,7.06E+07,100.2,0,0,0.379786,0,0,0,0,1.425,6.38E+08,1.68E+09,6.38E+08,4.696,3720,40128,41195,0.805342,0.796252,39456,40896,0.77234,0.745385
ICCAD2023_floorplanning_case_3(1),0,1,14,9.71E+07,100.2,0,0,0.30562,0,0,0,0,2.217,6.78E+08,2.22E+09,6.78E+08,5.234,3720,40212,40875,0.81096,0.797243,40176,40632,0.766295,0.748185
ICCAD2023_floorplanning_case_3(1),0,1,15,8.30E+07,100.248,0,0,0.130087,0,0,0,0,1.203,2.71E+08,2.09E+09,2.71E+08,4.778,3720,40062,41261,0.794468,0.785465,39936,40416,0.795216,0.767682
ICCAD2023_floorplanning_case_3(1),0,1,16,1.02E+08,100.232,0,0,0.272025,0,0,0,0,10.171,5.87E+08,2.16E+09,5.87E+08,14.261,3720,39453,41349,0.803137,0.783633,39427,41184,0.797483,0.7745
ICCAD2023_floorplanning_case_3(1),0,1,17,7.43E+07,100.238,0,0,0.142946,0,0,0,0,0.685,2.93E+08,2.05E+09,2.93E+08,3.963,3720,40029,41201,0.804843,0.793911,40080,39840,0.78555,0.750238
ICCAD2023_floorplanning_case_3(1),0,1,18,9.06E+07,100.236,0,0,0.293928,0,0,0,0,10.927,5.47E+08,1.86E+09,5.47E+08,14.12,3720,40542,41316,0.781501,0.782944,39696,40992,0.79508,0.77381
ICCAD2023_floorplanning_case_3(1),0,1,19,1.12E+08,100.303,0,0,0.161966,0,0,0,0,0.996,3.64E+08,2.25E+09,3.64E+08,4.695,3720,39534,41439,0.790064,0.774141,39854,40128,0.82722,0.791258
ICCAD2023_floorplanning_case_3(1),0,1,20,8.56E+07,100.249,0,0,0.250892,0,0,0,0,2.907,4.59E+08,1.83E+09,4.59E+08,7.282,3720,39831,41177,0.804051,0.788746,39920,40128,0.795489,0.762168
ICCAD2023_floorplanning_case_3(1),0,1,10,1.93E+08,100.224,0,0,0.32652,0,0,0,0,56.483,8.56E+08,2.62E+09,8.56E+08,59.218,3720,40315,41067,0.803222,0.795377,40368,41263,0.754604,0.751787
ICCAD2023_floorplanning_case_3(1),0,1,11,2.65E+08,100.217,0,0,0.272302,0,0,0,0,14.528,6.97E+08,2.56E+09,6.97E+08,17.263,3720,40352,41394,0.803139,0.802363,39748,41384,0.749157,0.737053
改动了多次扰动时面积没更新导致的超利用率bug,,,,,,,,,,,,,,,,,,,,,,,,,,
ICCAD2023_floorplanning_case_3(1),0,1,2,6.62E+07,100.249,0,0,0.179574,0,0,0,0,1.797,3.27E+08,1.82E+09,3.27E+08,4.87,3720,40393,40280,0.792477,0.771188,40128,39360,0.842896,0.796259
ICCAD2023_floorplanning_case_3(1),0,1,3,9.26E+07,100.222,0,0,0.244097,0,0,0,0,6.954,5.24E+08,2.15E+09,5.24E+08,9.538,3720,40257,41410,0.790053,0.787737,39792,40560,0.790963,0.763533
